Result 1 B3:
Index, Spine, Page
227, (0, 1), (2, 7, 8)
229, (0, 7), (1, 6, 8)
230, (2, 8), (0, 5, 10)
231, (0, 1), (2, 3, 7)
233, (0, 7), (1, 6, 8)
234, (0, 2), (4, 6, 8)
235, (0, 1), (2, 7, 8)
236, (3, 6), (0, 9, 10)
237, (0, 1), (4, 7, 8)
238, (0, 2), (4, 6, 8)
239, (0, 1), (2, 3, 4)
241, (0, 1), (6, 7, 8)
242, (5, 7), (0, 12, 13)
243, (0, 1), (2, 6, 7)
244, (3, 6), (0, 9, 11)
245, (0, 1), (6, 7, 8)
246, (0, 2), (5, 7, 8)
247, (0, 1), (2, 3, 6)
249, (0, 1), (5, 6, 7)
250, (0, 2), (4, 6, 7)
251, (0, 1), (2, 5, 6)
252, (0, 3), (6, 7, 8)
253, (0, 1), (4, 5, 6)
254, (0, 2), (4, 5, 6)
255, (0, 1), (2, 3, 4)
263, (1, 2), (0, 3, 4)
267, (2, 4), (0, 3, 6)
271, (0, 1), (2, 3, 4)
279, (0, 2), (1, 3, 5)
281, (0, 5), (1, 4, 9)
282, (5, 9), (0, 7, 14)
283, (0, 4), (2, 5, 9)
285, (0, 4), (1, 3, 5)
286, (0, 5), (2, 3, 9)
287, (0, 1), (2, 3, 4)
292, (3, 6), (0, 9, 12)
293, (3, 6), (0, 9, 12)
294, (3, 6), (0, 9, 12)
295, (0, 3), (1, 2, 6)
298, (2, 4), (0, 6, 8)
299, (0, 2), (1, 4, 6)
300, (3, 6), (0, 9, 12)
301, (0, 3), (4, 6, 9)
302, (0, 6), (2, 3, 4)
303, (0, 1), (2, 3, 4)
307, (1, 2), (0, 3, 7)
308, (3, 6), (0, 9, 12)
309, (0, 6), (1, 3, 5)
310, (0, 3), (5, 6, 9)
311, (0, 1), (2, 3, 6)
313, (0, 5), (1, 4, 6)
314, (0, 4), (2, 6, 9)
315, (0, 1), (2, 5, 6)
316, (0, 9), (3, 4, 5)
317, (0, 1), (4, 5, 6)
318, (0, 2), (4, 5, 6)
319, (0, 1), (2, 3, 4)
323, (7, 9), (0, 8, 16)
327, (0, 2), (1, 3, 9)
330, (2, 4), (0, 6, 11)
331, (0, 2), (1, 4, 9)
333, (0, 4), (1, 3, 7)
334, (0, 7), (3, 4, 9)
335, (0, 1), (2, 3, 4)
338, (0, 7), (2, 5, 9)
339, (0, 2), (1, 7, 9)
342, (0, 2), (5, 7, 9)
343, (0, 2), (1, 3, 5)
345, (0, 5), (1, 4, 9)
346, (0, 2), (4, 7, 9)
347, (0, 2), (1, 4, 7)
348, (3, 7), (0, 10, 12)
349, (0, 4), (1, 3, 5)
350, (0, 2), (4, 5, 7)
351, (0, 1), (2, 3, 4)
355, (0, 7), (1, 6, 9)
356, (3, 6), (0, 9, 12)
357, (0, 6), (3, 7, 9)
358, (0, 9), (2, 3, 6)
359, (0, 1), (2, 3, 7)
362, (0, 2), (4, 6, 9)
363, (0, 2), (1, 4, 6)
364, (0, 3), (6, 7, 9)
365, (0, 3), (4, 6, 7)
366, (0, 2), (4, 6, 9)
367, (0, 1), (2, 3, 4)
369, (0, 6), (1, 5, 7)
370, (0, 7), (2, 5, 9)
371, (0, 1), (2, 6, 7)
372, (3, 6), (0, 9, 12)
373, (0, 6), (1, 3, 5)
374, (0, 2), (5, 7, 9)
375, (0, 1), (2, 3, 6)
377, (0, 1), (5, 6, 7)
378, (0, 2), (4, 6, 7)
379, (0, 1), (2, 5, 6)
380, (0, 3), (6, 7, 9)
381, (0, 1), (4, 5, 6)
382, (0, 2), (4, 5, 6)
383, (0, 1), (2, 3, 4)
387, (1, 2), (0, 3, 10)
391, (0, 1), (2, 3, 9)
393, (1, 9), (0, 5, 10)
394, (4, 8), (0, 6, 12)
395, (1, 2), (0, 3, 10)
397, (0, 4), (1, 3, 8)
398, (4, 8), (0, 6, 12)
399, (0, 1), (2, 3, 4)
403, (1, 2), (0, 3, 10)
405, (0, 8), (3, 5, 9)
406, (0, 5), (2, 3, 8)
407, (0, 1), (2, 3, 9)
408, (4, 8), (0, 12, 13)
409, (0, 4), (5, 8, 9)
410, (0, 4), (2, 8, 9)
411, (0, 1), (2, 5, 9)
412, (0, 8), (3, 4, 5)
413, (0, 1), (4, 5, 9)
414, (0, 4), (2, 8, 9)
415, (0, 1), (2, 3, 4)
419, (0, 8), (2, 6, 9)
420, (3, 6), (0, 9, 12)
421, (0, 9), (1, 3, 6)
422, (0, 6), (3, 8, 9)
423, (0, 1), (2, 3, 9)
425, (1, 9), (0, 5, 10)
426, (0, 2), (4, 6, 8)
427, (0, 2), (1, 4, 6)
428, (3, 6), (0, 9, 12)
429, (0, 3), (4, 6, 9)
430, (0, 2), (4, 6, 8)
431, (0, 1), (2, 3, 4)
433, (5, 6), (0, 11, 14)
435, (0, 1), (2, 6, 9)
436, (0, 3), (6, 8, 9)
437, (0, 3), (6, 8, 9)
438, (0, 3), (5, 6, 8)
439, (0, 1), (2, 3, 6)
440, (4, 8), (0, 12, 13)
441, (0, 1), (5, 6, 9)
442, (0, 2), (4, 6, 8)
443, (0, 1), (2, 5, 6)
444, (0, 3), (6, 8, 9)
445, (0, 1), (4, 5, 6)
446, (0, 2), (4, 5, 6)
447, (0, 1), (2, 3, 4)
449, (0, 8), (1, 7, 9)
451, (0, 1), (2, 8, 9)
453, (0, 8), (1, 7, 9)
455, (0, 1), (2, 3, 8)
457, (0, 8), (1, 4, 7)
458, (2, 4), (0, 6, 11)
459, (0, 1), (2, 8, 9)
460, (3, 7), (0, 10, 11)
461, (0, 1), (4, 8, 9)
462, (0, 4), (2, 7, 8)
463, (0, 1), (2, 3, 4)
465, (0, 8), (1, 7, 9)
466, (0, 7), (2, 5, 9)
467, (0, 1), (2, 8, 9)
469, (0, 8), (1, 3, 5)
470, (0, 2), (5, 7, 9)
471, (0, 1), (2, 3, 8)
472, (4, 8), (0, 12, 13)
473, (0, 1), (5, 8, 9)
474, (0, 2), (4, 7, 9)
475, (0, 1), (2, 5, 8)
476, (0, 4), (7, 8, 9)
477, (0, 1), (4, 5, 8)
478, (0, 2), (4, 5, 7)
479, (0, 1), (2, 3, 4)
481, (0, 1), (7, 8, 9)
482, (6, 8), (0, 14, 15)
483, (0, 1), (2, 7, 8)
