Result 1 B3:
Index, Spine, Page
120, (7, 9), (0, 4, 13)
121, (7, 9), (0, 4, 13)
122, (7, 9), (0, 4, 13)
123, (7, 9), (0, 4, 13)
124, (7, 9), (0, 4, 13)
125, (7, 9), (0, 4, 13)
126, (7, 9), (0, 4, 13)
127, (7, 9), (0, 4, 13)
140, (9, 10), (4, 6, 13)
141, (9, 10), (4, 6, 13)
142, (9, 10), (4, 6, 13)
143, (9, 10), (4, 6, 13)
156, (9, 10), (4, 6, 13)
157, (9, 10), (4, 6, 13)
158, (9, 10), (4, 6, 13)
159, (9, 10), (4, 6, 13)
160, (5, 7), (0, 2, 13)
161, (5, 7), (0, 2, 13)
162, (5, 7), (0, 2, 13)
163, (5, 7), (0, 2, 13)
164, (5, 7), (0, 2, 13)
165, (5, 7), (0, 2, 13)
166, (5, 7), (0, 2, 13)
167, (5, 7), (0, 2, 13)
168, (5, 7), (0, 2, 13)
169, (5, 7), (0, 2, 13)
170, (5, 7), (0, 2, 13)
171, (5, 7), (0, 2, 13)
172, (5, 7), (0, 2, 13)
173, (5, 7), (0, 2, 13)
174, (5, 7), (0, 2, 13)
175, (5, 7), (0, 2, 13)
176, (5, 7), (0, 2, 13)
177, (5, 7), (0, 2, 13)
178, (5, 7), (0, 2, 13)
179, (5, 7), (0, 2, 13)
180, (5, 7), (0, 2, 13)
181, (5, 7), (0, 2, 13)
182, (5, 7), (0, 2, 13)
183, (5, 7), (0, 2, 13)
184, (5, 7), (0, 2, 13)
185, (5, 7), (0, 2, 13)
186, (5, 7), (0, 2, 13)
187, (5, 7), (0, 2, 13)
188, (5, 7), (0, 2, 13)
189, (5, 7), (0, 2, 13)
190, (5, 7), (0, 2, 13)
191, (5, 7), (0, 2, 13)
192, (5, 6), (2, 12, 13)
194, (5, 6), (2, 12, 13)
196, (6, 10), (2, 9, 13)
197, (6, 10), (2, 9, 13)
198, (6, 10), (2, 9, 13)
199, (6, 10), (2, 9, 13)
200, (5, 6), (2, 12, 13)
201, (6, 9), (10, 11, 13)
202, (5, 6), (2, 12, 13)
204, (5, 6), (2, 12, 13)
206, (5, 6), (2, 12, 13)
208, (5, 6), (2, 12, 13)
210, (5, 6), (2, 12, 13)
212, (6, 10), (2, 9, 13)
213, (6, 10), (2, 9, 13)
214, (6, 10), (2, 9, 13)
215, (6, 10), (2, 9, 13)
216, (5, 6), (2, 12, 13)
217, (6, 9), (10, 11, 13)
218, (5, 6), (2, 12, 13)
220, (5, 6), (2, 12, 13)
222, (5, 6), (2, 12, 13)
224, (5, 7), (0, 2, 13)
225, (5, 7), (0, 2, 13)
226, (5, 7), (0, 2, 13)
227, (5, 7), (0, 2, 13)
228, (5, 7), (0, 2, 13)
229, (5, 7), (0, 2, 13)
230, (5, 7), (0, 2, 13)
231, (5, 7), (0, 2, 13)
232, (5, 7), (0, 2, 13)
233, (5, 7), (0, 2, 13)
234, (5, 7), (0, 2, 13)
235, (5, 7), (0, 2, 13)
236, (5, 7), (0, 2, 13)
237, (5, 7), (0, 2, 13)
238, (5, 7), (0, 2, 13)
239, (5, 7), (0, 2, 13)
240, (5, 7), (0, 2, 13)
241, (5, 7), (0, 2, 13)
242, (5, 7), (0, 2, 13)
243, (5, 7), (0, 2, 13)
244, (5, 7), (0, 2, 13)
245, (5, 7), (0, 2, 13)
246, (5, 7), (0, 2, 13)
247, (5, 7), (0, 2, 13)
248, (5, 7), (0, 2, 13)
249, (5, 7), (0, 2, 13)
250, (5, 7), (0, 2, 13)
251, (5, 7), (0, 2, 13)
252, (5, 7), (0, 2, 13)
253, (5, 7), (0, 2, 13)
254, (5, 7), (0, 2, 13)
255, (5, 7), (0, 2, 13)
260, (4, 10), (3, 9, 13)
261, (4, 10), (3, 9, 13)
262, (4, 10), (3, 9, 13)
263, (4, 10), (3, 9, 13)
264, (4, 9), (7, 10, 13)
265, (4, 9), (7, 10, 13)
266, (4, 9), (7, 10, 13)
267, (4, 9), (7, 10, 13)
272, (4, 8), (7, 12, 13)
274, (4, 8), (7, 12, 13)
276, (4, 10), (3, 9, 13)
277, (4, 10), (3, 9, 13)
278, (4, 10), (3, 9, 13)
279, (4, 10), (3, 9, 13)
280, (4, 9), (7, 10, 13)
281, (4, 9), (7, 10, 13)
282, (4, 9), (7, 10, 13)
283, (4, 9), (7, 10, 13)
284, (4, 8), (7, 12, 13)
286, (4, 8), (7, 12, 13)
288, (4, 7), (8, 9, 13)
289, (4, 7), (8, 9, 13)
290, (4, 7), (8, 9, 13)
291, (4, 7), (8, 9, 13)
292, (4, 10), (3, 9, 13)
293, (4, 10), (3, 9, 13)
294, (4, 10), (3, 9, 13)
295, (4, 10), (3, 9, 13)
308, (4, 10), (3, 9, 13)
309, (4, 10), (3, 9, 13)
310, (4, 10), (3, 9, 13)
311, (4, 10), (3, 9, 13)
324, (6, 10), (2, 9, 13)
325, (6, 10), (2, 9, 13)
326, (6, 10), (2, 9, 13)
327, (6, 10), (2, 9, 13)
328, (4, 9), (7, 10, 13)
329, (4, 9), (7, 10, 13)
330, (4, 9), (7, 10, 13)
331, (4, 9), (7, 10, 13)
336, (4, 8), (7, 12, 13)
338, (4, 8), (7, 12, 13)
340, (6, 10), (2, 9, 13)
341, (6, 10), (2, 9, 13)
342, (6, 10), (2, 9, 13)
343, (6, 10), (2, 9, 13)
344, (4, 9), (7, 10, 13)
345, (4, 9), (7, 10, 13)
346, (4, 9), (7, 10, 13)
347, (4, 9), (7, 10, 13)
348, (4, 8), (7, 12, 13)
350, (4, 8), (7, 12, 13)
352, (4, 7), (8, 9, 13)
353, (4, 7), (8, 9, 13)
354, (4, 7), (8, 9, 13)
355, (4, 7), (8, 9, 13)
356, (6, 10), (2, 9, 13)
357, (6, 10), (2, 9, 13)
358, (6, 10), (2, 9, 13)
359, (6, 10), (2, 9, 13)
360, (6, 9), (10, 11, 13)
361, (6, 9), (10, 11, 13)
372, (6, 10), (2, 9, 13)
373, (6, 10), (2, 9, 13)
374, (6, 10), (2, 9, 13)
375, (6, 10), (2, 9, 13)
376, (6, 9), (10, 11, 13)
377, (6, 9), (10, 11, 13)
388, (4, 10), (3, 9, 13)
389, (4, 10), (3, 9, 13)
390, (4, 10), (3, 9, 13)
391, (4, 10), (3, 9, 13)
392, (4, 9), (7, 10, 13)
393, (4, 9), (7, 10, 13)
394, (4, 9), (7, 10, 13)
395, (4, 9), (7, 10, 13)
400, (4, 8), (7, 12, 13)
402, (4, 8), (7, 12, 13)
404, (4, 10), (3, 9, 13)
405, (4, 10), (3, 9, 13)
406, (4, 10), (3, 9, 13)
407, (4, 10), (3, 9, 13)
408, (4, 9), (7, 10, 13)
409, (4, 9), (7, 10, 13)
410, (4, 9), (7, 10, 13)
411, (4, 9), (7, 10, 13)
412, (4, 8), (7, 12, 13)
414, (4, 8), (7, 12, 13)
416, (5, 7), (0, 2, 13)
417, (5, 7), (0, 2, 13)
418, (5, 7), (0, 2, 13)
419, (5, 7), (0, 2, 13)
420, (5, 7), (0, 2, 13)
421, (5, 7), (0, 2, 13)
422, (5, 7), (0, 2, 13)
423, (5, 7), (0, 2, 13)
424, (5, 7), (0, 2, 13)
425, (5, 7), (0, 2, 13)
426, (5, 7), (0, 2, 13)
427, (5, 7), (0, 2, 13)
428, (5, 7), (0, 2, 13)
429, (5, 7), (0, 2, 13)
430, (5, 7), (0, 2, 13)
431, (5, 7), (0, 2, 13)
432, (5, 7), (0, 2, 13)
433, (5, 7), (0, 2, 13)
434, (5, 7), (0, 2, 13)
435, (5, 7), (0, 2, 13)
436, (5, 7), (0, 2, 13)
437, (5, 7), (0, 2, 13)
438, (5, 7), (0, 2, 13)
439, (5, 7), (0, 2, 13)
440, (5, 7), (0, 2, 13)
441, (5, 7), (0, 2, 13)
442, (5, 7), (0, 2, 13)
443, (5, 7), (0, 2, 13)
444, (5, 7), (0, 2, 13)
445, (5, 7), (0, 2, 13)
446, (5, 7), (0, 2, 13)
447, (5, 7), (0, 2, 13)
448, (5, 6), (2, 12, 13)
450, (5, 6), (2, 12, 13)
452, (6, 10), (2, 9, 13)
453, (6, 10), (2, 9, 13)
454, (6, 10), (2, 9, 13)
455, (6, 10), (2, 9, 13)
456, (5, 6), (2, 12, 13)
457, (4, 9), (7, 10, 13)
458, (5, 6), (2, 12, 13)
459, (4, 9), (7, 10, 13)
460, (5, 6), (2, 12, 13)
462, (5, 6), (2, 12, 13)
464, (5, 6), (2, 12, 13)
466, (5, 6), (2, 12, 13)
468, (6, 10), (2, 9, 13)
469, (6, 10), (2, 9, 13)
470, (6, 10), (2, 9, 13)
471, (6, 10), (2, 9, 13)
472, (5, 6), (2, 12, 13)
473, (4, 9), (7, 10, 13)
474, (5, 6), (2, 12, 13)
475, (4, 9), (7, 10, 13)
476, (5, 6), (2, 12, 13)
478, (5, 6), (2, 12, 13)
480, (5, 7), (0, 2, 13)
481, (5, 7), (0, 2, 13)
482, (5, 7), (0, 2, 13)
483, (5, 7), (0, 2, 13)
484, (5, 7), (0, 2, 13)
485, (5, 7), (0, 2, 13)
486, (5, 7), (0, 2, 13)
487, (5, 7), (0, 2, 13)
488, (5, 7), (0, 2, 13)
489, (5, 7), (0, 2, 13)
490, (5, 7), (0, 2, 13)
491, (5, 7), (0, 2, 13)
492, (5, 7), (0, 2, 13)
493, (5, 7), (0, 2, 13)
494, (5, 7), (0, 2, 13)
