Result 1 B2:
Index, Spine, Page
215, (3, 5), (4, 10)
216, (3, 6), (0, 10)
217, (3, 6), (0, 10)
218, (3, 6), (0, 10)
219, (3, 6), (0, 10)
220, (3, 6), (0, 10)
221, (3, 6), (0, 10)
222, (3, 6), (0, 10)
223, (3, 6), (0, 10)
224, (3, 4), (5, 10)
225, (3, 4), (5, 10)
226, (2, 8), (5, 10)
227, (2, 8), (5, 10)
228, (4, 7), (1, 10)
229, (4, 7), (1, 10)
230, (4, 7), (1, 10)
231, (4, 7), (1, 10)
232, (3, 6), (0, 10)
233, (3, 6), (0, 10)
234, (3, 6), (0, 10)
235, (3, 6), (0, 10)
236, (3, 6), (0, 10)
237, (3, 6), (0, 10)
238, (3, 6), (0, 10)
239, (3, 6), (0, 10)
240, (2, 5), (8, 10)
241, (2, 5), (8, 10)
244, (4, 7), (1, 10)
245, (4, 7), (1, 10)
246, (4, 7), (1, 10)
247, (4, 7), (1, 10)
248, (3, 6), (0, 10)
249, (3, 6), (0, 10)
250, (3, 6), (0, 10)
251, (3, 6), (0, 10)
252, (3, 6), (0, 10)
253, (3, 6), (0, 10)
254, (3, 6), (0, 10)
255, (3, 6), (0, 10)
260, (1, 7), (4, 10)
261, (1, 7), (4, 10)
262, (1, 7), (4, 10)
263, (1, 7), (4, 10)
266, (6, 8), (7, 10)
267, (6, 8), (7, 10)
268, (1, 7), (4, 10)
269, (1, 7), (4, 10)
270, (1, 7), (4, 10)
271, (1, 7), (4, 10)
274, (5, 8), (2, 10)
275, (5, 8), (2, 10)
276, (1, 7), (4, 10)
277, (1, 7), (4, 10)
278, (5, 8), (2, 10)
279, (5, 8), (2, 10)
282, (5, 8), (2, 10)
283, (5, 8), (2, 10)
284, (1, 7), (4, 10)
285, (1, 7), (4, 10)
286, (5, 8), (2, 10)
287, (5, 8), (2, 10)
288, (1, 4), (7, 10)
289, (1, 4), (7, 10)
290, (1, 4), (7, 10)
291, (1, 4), (7, 10)
294, (7, 8), (6, 10)
295, (7, 8), (6, 10)
296, (1, 4), (7, 10)
297, (1, 4), (7, 10)
298, (1, 4), (7, 10)
299, (1, 4), (7, 10)
300, (6, 7), (8, 10)
301, (6, 7), (8, 10)
304, (4, 5), (3, 10)
305, (4, 5), (3, 10)
306, (5, 8), (2, 10)
307, (5, 8), (2, 10)
308, (4, 5), (3, 10)
309, (4, 5), (3, 10)
310, (5, 8), (2, 10)
311, (5, 8), (2, 10)
312, (4, 5), (3, 10)
313, (4, 5), (3, 10)
314, (5, 8), (2, 10)
315, (5, 8), (2, 10)
316, (4, 5), (3, 10)
317, (4, 5), (3, 10)
318, (5, 8), (2, 10)
319, (5, 8), (2, 10)
324, (1, 7), (4, 10)
325, (1, 7), (4, 10)
326, (1, 7), (4, 10)
327, (1, 7), (4, 10)
328, (3, 6), (0, 10)
329, (3, 6), (0, 10)
330, (3, 6), (0, 10)
331, (3, 6), (0, 10)
332, (3, 6), (0, 10)
333, (3, 6), (0, 10)
